id,word,frequency,rating,year
10978,pretty,3,2,2019
11544,pretty,2,3,2019
12333,pretty,5,4,2019
12623,price,2,4,2019
12466,prices,2,4,2019
12144,quality,3,4,2019
12984,quality,4,5,2019
12159,quick,2,4,2019
12137,really,9,4,2019
13254,really,3,5,2019
12629,reasonable,2,4,2019
12523,recent,2,4,2019
12860,recommend,5,5,2019
11214,regular,2,2,2019
11076,restaurant,2,2,2019
11603,restaurant,4,3,2019
12413,restaurant,6,4,2019
13102,restaurant,6,5,2019
12191,reuben,2,4,2019
12384,review,2,4,2019
10715,right,3,1,2019
11956,right,2,4,2019
10737,said,2,1,2019
11041,said,4,2,2019
11583,said,3,3,2019
12155,salad,2,4,2019
12867,salad,4,5,2019
11524,salt,2,3,2019
12536,san,4,4,2019
13110,san,5,5,2019
12027,sandwich,2,4,2019
12135,saturday,2,4,2019
11860,sauce,2,4,2019
11497,saw,2,3,2019
10879,say,2,1,2019
12253,say,2,4,2019
10716,says,2,1,2019
13006,seated,3,5,2019
12374,see,3,4,2019
11581,seems,2,3,2019
10698,server,3,1,2019
13179,server,2,5,2019
11737,servers,3,3,2019
13211,servers,2,5,2019
10772,service,3,1,2019
11107,service,5,2,2019
11459,service,6,3,2019
12202,service,12,4,2019
12986,service,11,5,2019
10704,she,2,1,2019
12361,she,2,4,2019
11406,side,2,3,2019
12121,side,3,4,2019
10865,side.,2,1,2019
12498,"sides,",2,4,2019
12146,since,2,4,2019
12955,since,2,5,2019
11826,smile,2,4,2019
10942,so,2,1,2019
11229,so,2,2,2019
11365,so,7,3,2019
12050,so,12,4,2019
12904,so,4,5,2019
11700,some,2,3,2019
12605,some,3,4,2019
13185,some,5,5,2019
12005,something,3,4,2019
11989,soup,2,4,2019
11990,sour,2,4,2019
12436,souvlaki,2,4,2019
12136,special,2,4,2019
11106,spoke,2,2,2019
12157,spot,7,4,2019
12320,staff,4,4,2019
12648,staff,2,4,2019
13057,staff,2,5,2019
13082,steak,2,5,2019
11374,still,2,3,2019
12070,style,3,4,2019
12021,sunday,2,4,2019
12923,sunday,2,5,2019
12304,sunset,2,4,2019
11068,super,2,2,2019
12641,super,5,4,2019
12278,sure,2,4,2019
13033,sure,2,5,2019
11610,sweet,2,3,2019
12272,take,2,4,2019
13028,take,2,5,2019
11165,taking,2,2,2019
12245,tasted,2,4,2019
13246,tasty,2,5,2019
10844,than,3,1,2019
11478,than,5,3,2019
12232,than,2,4,2019
10831,that,4,1,2019
11193,that,7,2,2019
11474,that,9,3,2019
12221,that,12,4,2019
12999,that,4,5,2019
11945,that's,2,4,2019
10927,the,5,1,2019
11233,the,5,2,2019
11672,the,8,3,2019
12538,the,24,4,2019
13043,the,9,5,2019
11464,their,3,3,2019
12211,their,17,4,2019
12992,their,8,5,2019
10670,them,2,1,2019
11387,them,3,3,2019
11386,then,4,3,2019
10816,there,3,1,2019
11744,there,5,3,2019
12186,there,11,4,2019
13215,there,4,5,2019
10683,they,6,1,2019
10998,they,8,2,2019
11392,they,11,3,2019
